id;fase;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;explicacao
1;1;Qual país ganhou mais Copas do Mundo de futebol?;Brasil;Alemanha;Itália;Argentina;0;O Brasil é o país mais bem-sucedido na história das Copas do Mundo FIFA, com 5 títulos conquistados em 1958 (Suécia), 1962 (Chile), 1970 (México), 1994 (Estados Unidos) e 2002 (Japão/Coreia do Sul). É também o único país a participar de todas as edições da Copa do Mundo desde 1930.
2;1;Quantos times disputam a final da Copa do Mundo?;1;2;3;4;1;A final da Copa do Mundo é disputada por exatamente 2 times que chegaram até a última fase do torneio após eliminarem todos os adversários nas etapas anteriores. A partida decisiva define o campeão mundial e é um dos eventos esportivos mais assistidos globalmente, reunindo bilhões de espectadores.
3;1;Com que frequência ocorre a Copa do Mundo de futebol?;2 anos;4 anos;3 anos;5 anos;1;A Copa do Mundo FIFA acontece a cada 4 anos desde 1930 (exceto 1942 e 1946 devido à Segunda Guerra Mundial). Este intervalo permite que as seleções se preparem adequadamente, renovem seus elencos e mantenham o evento como algo especial e aguardado pelos fãs do futebol mundial.
4;1;Qual jogador brasileiro ficou conhecido como “Fenômeno”?;Romário;Ronaldo;Ronaldinho;Neymar;1;Ronaldo Nazário foi apelidado de “Fenômeno”.
5;1;Qual país sediou os Jogos Olímpicos de 2016?;Brasil;China;Reino Unido;Japão;0;O Brasil sediou os Jogos Olímpicos de Verão de 2016 na cidade do Rio de Janeiro, tornando-se o primeiro país sul-americano a receber este evento. Os jogos aconteceram de 5 a 21 de agosto, com competições em locais icônicos como Maracanã, Copacabana e Cristo Redentor, reunindo mais de 11.000 atletas de 206 países.
6;2;Qual medalha é entregue ao primeiro colocado?;Ouro;Prata;Bronze;Madeira;0;A medalha de ouro é tradicionalmente entregue ao vencedor (primeiro colocado) em competições olímpicas e esportivas internacionais. Embora seja chamada de "ouro", na verdade é feita principalmente de prata banhada a ouro. Simboliza a excelência máxima e é o objetivo mais desejado por atletas de elite mundial.
7;2;Qual símbolo representa os Jogos Olímpicos?;Cinco anéis;Tocha;Bandeira;Medalha;0;Os cinco anéis olímpicos entrelaçados são o símbolo oficial dos Jogos Olímpicos. Criados por Pierre de Coubertin em 1913, representam a união dos cinco continentes habitados (África, América, Ásia, Europa e Oceania) através do esporte. As cores (azul, amarelo, preto, verde e vermelho) aparecem em todas as bandeiras nacionais.
8;2;Com que frequência acontecem os Jogos Olímpicos?;2 anos;4 anos;3 anos;5 anos;1;Os Jogos Olímpicos de Verão e de Inverno acontecem alternadamente a cada 4 anos, mas desde 1994 eles são escalonados, resultando em Jogos Olímpicos a cada 2 anos. Os de Verão mantêm o ciclo tradicional de 4 anos (2024, 2028, 2032...), assim como os de Inverno (2022, 2026, 2030...).
9;2;Qual é o esporte mais praticado no mundo?;Futebol;Basquete;Vôlei;Tênis;0;O futebol é indiscutivelmente o esporte mais praticado e popular do mundo, com mais de 4 bilhões de fãs globalmente. É jogado em todos os continentes, requer equipamentos mínimos (apenas uma bola), pode ser praticado em qualquer superfície e transcende barreiras culturais, econômicas e sociais, unindo pessoas de todas as origens.
10;2;Qual país é conhecido por inventar o futebol moderno?;Brasil;Inglaterra;Espanha;Itália;1;A Inglaterra é reconhecida como o berço do futebol moderno. Em 1863, foi fundada a Football Association em Londres, que estabeleceu as primeiras regras oficiais do jogo. O futebol evoluiu de jogos medievais ingleses e foi codificado nas escolas públicas inglesas, depois se espalhando pelo mundo através do Império Britânico.
11;3;Qual é o maior estádio de futebol do mundo?;Maracanã;Camp Nou;Wembley;Azteca;0;O Estádio do Maracanã, no Rio de Janeiro, é considerado um dos maiores e mais emblemáticos estádios do mundo. Inaugurado em 1950 para a Copa do Mundo, já recebeu mais de 200.000 pessoas em uma partida (recorde não-oficial). Atualmente comporta cerca de 78.000 pessoas e é palco de finais de Copa do Mundo e Jogos Olímpicos.
12;3;Qual país é conhecido como "país do vôlei"?;Brasil;China;Estados Unidos;Itália;0;O Brasil é mundialmente reconhecido como o "país do vôlei" devido ao seu extraordinário sucesso internacional. As seleções masculina e feminina colecionaram títulos olímpicos, mundiais e da Liga das Nações. Jogadores brasileiros revolucionaram o esporte com técnicas inovadoras e são disputados por clubes internacionais, influenciando o vôlei global.
13;3;Quantos jogadores tem um time de futebol em campo?;9;10;11;12;2;Um time de futebol tem exatamente 11 jogadores em campo: 1 goleiro e 10 jogadores de linha (que podem ser defensores, meio-campistas ou atacantes). Esta regra foi estabelecida desde as origens do futebol moderno e é universal. Durante a partida, podem ocorrer substituições, mas o número máximo em campo permanece sempre 11 por equipe.
14;3;Qual é a duração oficial de uma partida de futebol?;60 minutos;90 minutos;120 minutos;100 minutos;1;Uma partida oficial de futebol dura 90 minutos, divididos em dois tempos de 45 minutos cada, com um intervalo de 15 minutos entre eles. O árbitro pode acrescentar tempo adicional (acréscimos) para compensar paralizações durante o jogo. Em jogos eliminatórios empatados, podem haver prorrogações de 30 minutos extras.
15;3;Em que ano o Brasil conquistou sua primeira Copa do Mundo de futebol?;1950;1958;1962;1970;1;O Brasil foi campeão pela primeira vez em 1958, na Suécia, com Pelé e Garrincha como destaques.
16;4;Qual é a posição do jogador que defende o gol?;Atacante;Meio-campo;Goleiro;Zagueiro;2;O goleiro (ou guarda-redes) é o jogador responsável por defender o gol de sua equipe, sendo o último linha de defesa. É o único jogador autorizado a usar as mãos, mas apenas dentro de sua área (área pequena). Deve ter reflexos rápidos, boa envergadura, coragem e habilidade para distribuir a bola e iniciar jogadas ofensivas.
17;4;Qual é a altura oficial da rede de vôlei masculino?;2,24 m;2,43 m;2,50 m;2,30 m;1;A rede oficial do vôlei masculino tem exatamente 2,43 metros de altura nas extremidades e 2,42m no centro (devido ao peso da rede). Esta altura foi estabelecida pela FIVB (Federação Internacional de Voleibol) para equilibrar o jogo entre ataque e defesa, permitindo jogadas espetaculares sem tornar os ataques impossíveis de defender.
18;4;Quantos jogadores têm um time de vôlei em quadra?;5;6;7;8;1;Cada equipe de vôlei tem exatamente 6 jogadores em quadra, organizados em duas linhas: 3 na linha de frente (rede) e 3 na linha de trás. Todos os jogadores fazem rotação obrigatória a cada ponto conquistado no saque, garantindo que todos joguem em todas as posições durante a partida, promovendo versatilidade e trabalho em equipe.
19;4;Em qual país surgiu o vôlei?;EUA;Japão;Brasil;Itália;0;O vôlei foi criado em 1895 por William Morgan, nos Estados Unidos.
20;4;Qual é o fundamento do vôlei usado para defender um ataque forte do adversário?;Passe;Saque;Bloqueio;Levantamento;2;O bloqueio é feito próximo à rede, tentando impedir que a bola passe para o próprio lado.
21;5;Qual país é conhecido como o berço dos Jogos Olímpicos antigos?;Roma;Atenas;Esparta;Alexandria;1;Os Jogos Olímpicos antigos tiveram origem em Olímpia, na Grécia, no ano de 776 a.C., como parte de festividades religiosas em homenagem a Zeus.
22;5;Qual país foi campeão da Copa do Mundo de 2018?;Alemanha;França;Argentina;Espanha;1;A França venceu a Copa do Mundo de 2018, realizada na Rússia, derrotando a Croácia na final por 4 a 2.
23;5;Quantos anéis têm o símbolo olímpico?;3;4;5;6;2;O símbolo olímpico é composto por 5 anéis entrelaçados, representando os cinco continentes habitados do planeta.
24;5;Qual país sediou a primeira Copa do Mundo de futebol em 1930?;Brasil;Uruguai;Argentina;Itália;1;O Uruguai foi sede da primeira Copa do Mundo, em 1930, e também foi o campeão daquela edição.
25;5;Qual atleta é conhecido como o "homem mais rápido do mundo"?;Carl Lewis;Usain Bolt;Jesse Owens;Michael Johnson;1;Usain Bolt, da Jamaica, é considerado o homem mais rápido do mundo, detendo recordes mundiais nos 100m e 200m rasos.
26;6;Quantos sets uma partida de vôlei pode ter no máximo?;3;4;5;6;2;Uma partida de vôlei pode ter no máximo 5 sets. Vence quem ganhar 3 sets primeiro.
27;6;Qual é o nome do troféu entregue ao campeão da Copa do Mundo de futebol?;Taça Olímpica;Taça Jules Rimet;Taça da Vitória;Taça FIFA;3;O troféu atual da Copa do Mundo é a Taça FIFA, criada em 1974 para substituir a Taça Jules Rimet.
28;6;Qual país foi o primeiro campeão olímpico do futebol?;Brasil;Uruguai;Alemanha;Itália;1;O Uruguai venceu o torneio de futebol nos Jogos Olímpicos de 1924, em Paris, tornando-se o primeiro campeão olímpico da modalidade.
29;6;Qual é o esporte praticado na NBA?;Beisebol;Basquete;Futebol americano;Hóquei;1;A NBA é a liga profissional de basquete dos Estados Unidos, considerada a mais famosa e competitiva do mundo.
30;6;Qual é a pontuação máxima em uma partida de tênis (set simples sem tie-break)?;4;5;6;7;2;Um set de tênis é vencido quando o jogador conquista pelo menos 6 games, com diferença mínima de 2 games do adversário.
31;7;Qual país sediou a Copa do Mundo de 2014?;Alemanha;Brasil;África do Sul;Rússia;1;O Brasil foi o país sede da Copa de 2014, que terminou com a Alemanha campeã após vencer a Argentina na final.
32;7;Qual esporte é conhecido como "esporte bretão"?;Tênis;Futebol;Rúgbi;Críquete;1;O futebol é chamado de "esporte bretão" porque foi na Grã-Bretanha que ele foi modernizado e regulamentado no século XIX.
33;7;Qual é o esporte mais popular dos Estados Unidos?;Basquete;Beisebol;Futebol americano;Hóquei;2;O futebol americano é o esporte mais popular dos EUA, sendo a NFL uma das ligas mais assistidas do mundo.
34;7;Qual seleção conquistou a Copa do Mundo de 2002 junto com Ronaldo como artilheiro?;Alemanha;Brasil;Itália;França;1;O Brasil venceu a Copa de 2002, com Ronaldo marcando 8 gols, incluindo 2 na final contra a Alemanha.
35;7;Qual é o apelido do jogador Pelé?;O Fenômeno;O Rei;O Bruxo;O Mago;1;Pelé é conhecido como "O Rei do Futebol" devido ao seu talento extraordinário e conquistas históricas.
36;8;Qual país inventou o rúgbi?;Austrália;Inglaterra;África do Sul;Escócia;1;O rúgbi surgiu na Inglaterra em 1823, quando um estudante chamado William Webb Ellis teria corrido com a bola nas mãos durante um jogo de futebol.
37;8;Qual é o esporte coletivo mais popular da Argentina?;Basquete;Tênis;Rúgbi;Futebol;3;O futebol é o esporte mais popular da Argentina, com clubes históricos como Boca Juniors e River Plate e craques como Maradona e Messi.
38;8;Qual é o país sede da Fórmula 1 mais tradicional, com o circuito de Silverstone?;França;Itália;Inglaterra;Mônaco;2;A Inglaterra abriga o circuito de Silverstone, palco do primeiro GP da Fórmula 1 em 1950, sendo considerado um dos mais tradicionais da competição.
39;8;Quantos jogadores há em campo no rúgbi por equipe?;11;13;15;18;2;No rúgbi tradicional (union), cada equipe joga com 15 jogadores em campo, sendo um esporte de contato intenso.
40;8;Qual seleção feminina é a maior campeã da Copa do Mundo de futebol?;Brasil;Alemanha;EUA;Japão;2;Os Estados Unidos são a maior potência do futebol feminino, com 4 títulos mundiais (1991, 1999, 2015 e 2019).
