id;fase;tema;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;explicacao
1;1;Natureza;O que devemos fazer com o lixo para proteger o meio ambiente?;Jogar na rua;Separar e reciclar;Queimar tudo;Enterrar no quintal;1;Separar o lixo em recicláveis, orgânicos e rejeitos é a melhor forma de proteger o meio ambiente. A reciclagem transforma o lixo em novos produtos, reduzindo a necessidade de extrair mais recursos naturais e diminuindo a poluição.
2;1;Natureza;Qual é a cor da lixeira para papel?;Azul;Verde;Amarela;Vermelha;0;A lixeira azul é usada para o descarte de papel, como jornais, revistas, caixas e embalagens de papelão. Essa separação facilita o processo de reciclagem do material.
3;1;Natureza;Qual protocolo internacional buscou reduzir a emissão de gases do efeito estufa?;Protocolo de Montreal;Protocolo de Kyoto;Acordo de Paris;Tratado de Tordesilhas;1;O Protocolo de Kyoto estabeleceu metas para a redução da emissão de gases do efeito estufa, envolvendo diversos países.
4;1;Natureza;Qual animal é conhecido por ser o rei da selva?;Elefante;Girafa;Leão;Macaco;2;O leão é conhecido como o rei da selva devido à sua força e juba majestosa. Embora a expressão seja popular, leões vivem em savanas, e não em selvas.
5;1;Natureza;O que as árvores produzem que precisamos para respirar?;Água;Oxigênio;Comida;Sombra;1;As árvores, por meio da fotossíntese, absorvem gás carbônico e liberam oxigênio, que é fundamental para a respiração de todos os seres vivos.
6;2;Natureza;Qual é a fonte de energia que vem do Sol?;Energia solar;Energia da chuva;Energia do vento;Energia da terra;0;A energia solar é uma fonte de energia renovável e limpa que utiliza a luz e o calor do Sol para gerar eletricidade, ajudando a diminuir a emissão de gases poluentes.
7;2;Natureza;O que devemos fazer para economizar energia elétrica?;Deixar todas as luzes acesas;Desligar aparelhos quando não usar;Usar mais ar condicionado;Ligar a TV o dia todo;1;Desligar as luzes e os aparelhos eletrônicos da tomada quando não estão em uso é uma forma eficiente de economizar energia elétrica, o que reduz custos e o impacto ambiental da sua produção.
8;2;Natureza;Qual cor representa a natureza?;Roxo;Azul;Verde;Rosa;2;A cor verde é frequentemente associada à natureza, pois é a cor predominante de plantas, árvores e grama, elementos essenciais dos ecossistemas terrestres.
9;2;Natureza;Qual é a principal fonte de energia no Brasil?;Petróleo;Hidrelétrica;Nuclear;Solar;1;A matriz elétrica brasileira é baseada em hidrelétricas, que representam a maior parte da geração de energia.
10;2;Natureza;Quanto tempo uma sacola plástica demora para se decomor na natureza?;1 ano;10 anos;100 anos;Mais de 400 anos;3;O tempo de decomposição de uma sacola plástica é muito longo, podendo levar mais de 400 anos. Isso significa que a sacola jogada fora hoje ainda existirá por várias gerações, causando poluição por muito tempo.
11;3;Natureza;Qual é o habitat natural dos peixes?;Árvores;Água;Ar;Terra;1;O habitat natural dos peixes é a água, sejam rios, lagos ou oceanos. Eles possuem brânquias para extrair o oxigênio dissolvido na água e sobreviver nesse ambiente.
12;3;Natureza;Qual bioma brasileiro é exclusivo do Brasil?;Cerrado;Caatinga;Mata Atlântica;Pantanal;1;A Caatinga é um bioma exclusivamente brasileiro, caracterizado pelo clima seco e vegetação adaptada à escassez de água.
13;3;Natureza;Qual animal está em risco de extinção?;Cachorro;Gato;Panda;Galinha;2;O panda gigante é um animal em risco de extinção, principalmente devido à perda de seu habitat natural e à baixa taxa de reprodução. Esforços de conservação têm sido feitos para proteger a espécie.
14;3;Natureza;O que significa reciclar?;Jogar lixo fora;Transformar lixo em coisas novas;Queimar o lixo;Esconder o lixo;1;Reciclar é o processo de transformar materiais descartados em novos produtos. Isso reduz a quantidade de lixo em aterros sanitários e conserva os recursos naturais.
15;3;Natureza;Qual é o maior mamífero do mundo?;Elefante;Girafa;Baleia;Hipopótamo;2;A baleia-azul é o maior mamífero e o maior animal do planeta. Pode chegar a mais de 30 metros de comprimento e pesar cerca de 180 toneladas.
